ANÁLISIS AEROPUERTO: MAD

Día: Lunes
Hora | Vuelos
-------------------------------
00:00 | 10
01:00 | 7
02:00 | 2
03:00 | 1
04:00 | 2
05:00 | 13
06:00 | 33
07:00 | 61
08:00 | 50
09:00 | 63
10:00 | 71
11:00 | 75
12:00 | 78
13:00 | 77
14:00 | 74
15:00 | 82
16:00 | 68
17:00 | 34
18:00 | 44
19:00 | 76
20:00 | 61
21:00 | 45
22:00 | 55
23:00 | 40

Día: Martes
Hora | Vuelos
-------------------------------
00:00 | 20
01:00 | 6
02:00 | 2
03:00 | 5
04:00 | 7
05:00 | 16
06:00 | 31
07:00 | 70
08:00 | 44
09:00 | 56
10:00 | 78
11:00 | 73
12:00 | 61
13:00 | 68
14:00 | 66
15:00 | 73
16:00 | 65
17:00 | 33
18:00 | 39
19:00 | 75
20:00 | 61
21:00 | 39
22:00 | 48
23:00 | 40

Día: Miércoles
Hora | Vuelos
-------------------------------
00:00 | 9
01:00 | 7
02:00 | 2
03:00 | 2
04:00 | 4
05:00 | 15
06:00 | 28
07:00 | 60
08:00 | 42
09:00 | 55
10:00 | 77
11:00 | 70
12:00 | 63
13:00 | 66
14:00 | 67
15:00 | 66
16:00 | 75
17:00 | 40
18:00 | 41
19:00 | 69
20:00 | 55
21:00 | 39
22:00 | 53
23:00 | 41

Día: Jueves
Hora | Vuelos
-------------------------------
00:00 | 8
01:00 | 7
02:00 | 2
03:00 | 5
04:00 | 4
05:00 | 14
06:00 | 26
07:00 | 69
08:00 | 48
09:00 | 60
10:00 | 71
11:00 | 72
12:00 | 74
13:00 | 58
14:00 | 65
15:00 | 68
16:00 | 66
17:00 | 39
18:00 | 41
19:00 | 74
20:00 | 59
21:00 | 50
22:00 | 50
23:00 | 42

Día: Viernes
Hora | Vuelos
-------------------------------
00:00 | 15
01:00 | 3
02:00 | 3
03:00 | 2
04:00 | 6
05:00 | 16
06:00 | 33
07:00 | 56
08:00 | 45
09:00 | 65
10:00 | 79
11:00 | 76
12:00 | 73
13:00 | 69
14:00 | 73
15:00 | 68
16:00 | 59
17:00 | 37
18:00 | 53
19:00 | 79
20:00 | 65
21:00 | 50
22:00 | 56
23:00 | 45

Día: Sábado
Hora | Vuelos
-------------------------------
00:00 | 15
01:00 | 7
02:00 | 3
03:00 | 3
04:00 | 3
05:00 | 14
06:00 | 34
07:00 | 57
08:00 | 44
09:00 | 51
10:00 | 70
11:00 | 82
12:00 | 69
13:00 | 65
14:00 | 74
15:00 | 75
16:00 | 69
17:00 | 33
18:00 | 42
19:00 | 69
20:00 | 49
21:00 | 45
22:00 | 54
23:00 | 35

Día: Domingo
Hora | Vuelos
-------------------------------
00:00 | 12
01:00 | 2
02:00 | 1
03:00 | 2
04:00 | 2
05:00 | 15
06:00 | 29
07:00 | 51
08:00 | 43
09:00 | 62
10:00 | 75
11:00 | 75
12:00 | 61
13:00 | 66
14:00 | 67
15:00 | 81
16:00 | 61
17:00 | 42
18:00 | 45
19:00 | 81
20:00 | 63
21:00 | 58
22:00 | 62
23:00 | 45


ANÁLISIS AEROPUERTO: TFS


Día: Lunes
Hora | Vuelos
-------------------------------
00:00 | 1
01:00 | 1
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 5
07:00 | 2
08:00 | 3
09:00 | 4
10:00 | 16
11:00 | 20
12:00 | 19
13:00 | 30
14:00 | 22
15:00 | 26
16:00 | 20
17:00 | 23
18:00 | 23
19:00 | 11
20:00 | 5
21:00 | 5
22:00 | 0
23:00 | 4

Día: Martes
Hora | Vuelos
-------------------------------
00:00 | 0
01:00 | 2
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 1
06:00 | 1
07:00 | 1
08:00 | 3
09:00 | 7
10:00 | 27
11:00 | 23
12:00 | 26
13:00 | 32
14:00 | 30
15:00 | 35
16:00 | 32
17:00 | 27
18:00 | 28
19:00 | 11
20:00 | 4
21:00 | 2
22:00 | 1
23:00 | 3

Día: Miércoles
Hora | Vuelos
-------------------------------
00:00 | 0
01:00 | 2
02:00 | 2
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 3
07:00 | 1
08:00 | 5
09:00 | 9
10:00 | 26
11:00 | 22
12:00 | 29
13:00 | 26
14:00 | 27
15:00 | 29
16:00 | 30
17:00 | 27
18:00 | 26
19:00 | 13
20:00 | 3
21:00 | 1
22:00 | 0
23:00 | 1

Día: Jueves
Hora | Vuelos
-------------------------------
00:00 | 1
01:00 | 1
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 3
07:00 | 2
08:00 | 3
09:00 | 11
10:00 | 28
11:00 | 26
12:00 | 23
13:00 | 27
14:00 | 31
15:00 | 26
16:00 | 29
17:00 | 19
18:00 | 26
19:00 | 13
20:00 | 2
21:00 | 2
22:00 | 0
23:00 | 3

Día: Viernes
Hora | Vuelos
-------------------------------
00:00 | 0
01:00 | 5
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 4
07:00 | 2
08:00 | 7
09:00 | 8
10:00 | 20
11:00 | 27
12:00 | 25
13:00 | 30
14:00 | 26
15:00 | 23
16:00 | 25
17:00 | 26
18:00 | 27
19:00 | 23
20:00 | 5
21:00 | 2
22:00 | 2
23:00 | 1

Día: Sábado
Hora | Vuelos
-------------------------------
00:00 | 2
01:00 | 2
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 4
07:00 | 2
08:00 | 6
09:00 | 12
10:00 | 23
11:00 | 30
12:00 | 29
13:00 | 29
14:00 | 23
15:00 | 26
16:00 | 27
17:00 | 31
18:00 | 34
19:00 | 26
20:00 | 20
21:00 | 3
22:00 | 1
23:00 | 4

Día: Domingo
Hora | Vuelos
-------------------------------
00:00 | 1
01:00 | 2
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 1
06:00 | 4
07:00 | 2
08:00 | 5
09:00 | 16
10:00 | 25
11:00 | 28
12:00 | 27
13:00 | 28
14:00 | 25
15:00 | 24
16:00 | 20
17:00 | 20
18:00 | 11
19:00 | 17
20:00 | 6
21:00 | 1
22:00 | 1
23:00 | 2



ANÁLISIS AEROPUERTO: SPC


Día: Lunes
Hora | Vuelos
-------------------------------
00:00 | 0
01:00 | 0
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 0
07:00 | 0
08:00 | 0
09:00 | 0
10:00 | 7
11:00 | 8
12:00 | 4
13:00 | 4
14:00 | 10
15:00 | 3
16:00 | 2
17:00 | 4
18:00 | 4
19:00 | 8
20:00 | 9
21:00 | 5
22:00 | 0
23:00 | 0

Día: Martes
Hora | Vuelos
-------------------------------
00:00 | 0
01:00 | 0
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 0
07:00 | 0
08:00 | 0
09:00 | 0
10:00 | 13
11:00 | 11
12:00 | 11
13:00 | 10
14:00 | 14
15:00 | 12
16:00 | 7
17:00 | 9
18:00 | 12
19:00 | 13
20:00 | 13
21:00 | 4
22:00 | 1
23:00 | 0

Día: Miércoles
Hora | Vuelos
-------------------------------
00:00 | 0
01:00 | 0
02:00 | 0
03:00 | 0
04:00 | 0
05:00 | 0
06:00 | 0
07:00 | 0
08:00 | 0
09:00 | 0
10:00 | 8
11:00 | 4
12:00 | 6
13:00 | 7
14:00 | 11
15:00 | 5
16:00 | 2
17:00 | 7
18:00 | 5
19:00 | 3
