Instance	Number-of-Services	Real-Services	Fake-Services	Number-of-Employees	Total-Agents	Working-Agents	%Working-Agents	Total-Drivers	Total-Managers	Total-RampManagers	Algorithm	Productivity-UT	Real-Productivity-UT	P.UT-Agent	P.UT-Driver	P.UT-RampManager	P.UT-Manager	Work-Productivity	Real-Work-Productivity	WP-Agent	WP-Driver	WP-RampManager	WP-Manager	Execution-Time(ms)	Covered-Services(%)	Covered-Services
MAD-0.1-agents0221-timePerDay04-instance0002.json	984	793	191	96	4	4	100,000	54	19	19	referenceSolver	46,420	18,971	94,649	12,500	25,000	12,500	37,544	0,347	1,452	3,125	25,000	3,125	160,569	23,069	227
MAD-0.1-agents0221-timePerDay04-instance0002.json	984	793	191	96	4	4	100,000	54	19	19	randomSolver	68,479	35,413	79,074	62,500	87,500	87,500	42,234	3,601	6,995	23,438	67,188	56,250	696,619	62,398	614
MAD-0.1-agents0142-timePerDay04-instance0000.json	984	793	191	96	4	4	100,000	54	19	19	referenceSolver	43,229	1,205	12,500	87,500	12,500	12,500	37,488	0,010	0,103	87,500	1,563	1,563	51,026	14,634	144
MAD-0.1-agents0142-timePerDay04-instance0000.json	984	793	191	96	4	4	100,000	54	19	19	randomSolver	66,773	35,252	78,269	62,500	62,500	50,000	42,399	5,688	10,886	31,250	42,188	21,875	495,592	62,703	617
MAD-0.1-agents0024-timePerDay04-instance0002.json	984	793	191	96	4	4	100,000	54	19	19	referenceSolver	43,229	1,205	12,500	87,500	12,500	12,500	37,509	0,059	0,608	87,500	3,125	1,563	20,411	14,634	144
MAD-0.1-agents0024-timePerDay04-instance0002.json	984	793	191	96	4	4	100,000	54	19	19	randomSolver	66,822	35,014	78,319	66,667	62,500	50,000	44,576	32,232	62,587	65,625	42,188	40,625	438,136	61,687	607
MAD-0.1-agents0056-timePerDay04-instance0003.json	984	793	191	96	4	4	100,000	54	19	19	referenceSolver	49,405	1,205	14,286	42,857	28,571	100,000	42,851	0,025	0,298	32,143	28,571	100,000	29,392	14,634	144
MAD-0.1-agents0056-timePerDay04-instance0003.json	984	793	191	96	4	4	100,000	54	19	19	randomSolver	77,847	34,197	78,953	85,714	71,429	85,714	49,175	13,201	28,869	64,286	48,214	75,000	302,650	60,061	591
MAD-0.1-agents0130-timePerDay04-instance0001.json	984	793	191	96	4	4	100,000	54	19	19	referenceSolver	43,359	1,201	12,500	12,500	37,500	87,500	37,505	0,011	0,112	3,125	37,500	87,500	22,286	14,634	144
MAD-0.1-agents0130-timePerDay04-instance0001.json	984	793	191	96	4	4	100,000	54	19	19	randomSolver	67,445	35,499	67,686	62,500	62,500	75,000	42,433	6,073	11,667	62,500	42,188	45,313	320,261	61,992	610
MAD-0.1-agents0155-timePerDay04-instance0004.json	984	793	191	96	4	4	100,000	54	19	19	referenceSolver	43,359	1,201	12,500	87,500	37,500	12,500	37,504	0,009	0,094	87,500	37,500	1,563	18,822	14,634	144
MAD-0.1-agents0155-timePerDay04-instance0004.json	984	793	191	96	4	4	100,000	54	19	19	randomSolver	68,189	34,769	68,463	75,000	87,500	75,000	42,341	4,848	9,691	34,375	68,750	54,688	327,450	60,671	597
MAD-0.1-agents0098-timePerDay04-instance0004.json	984	793	191	96	4	4	100,000	54	19	19	referenceSolver	43,359	1,201	12,500	12,500	87,500	87,500	37,522	0,014	0,149	1,563	87,500	87,500	22,290	14,634	144
