iteracion;cobertura;wp
0;99.81735;45.21104
1;99.63470;45.16369
2;99.72603;45.18736
3;100.00000;45.25839
4;98.99543;44.85931
5;98.99543;44.99797
6;99.45205;44.97768
7;98.99543;44.99797
8;99.54338;45.14002
9;100.00000;45.25839
10;99.81735;45.21104
11;99.08676;45.02165
12;99.26941;45.06899
13;99.72603;45.18736
14;99.54338;45.14002
15;99.63470;45.10620
16;99.54338;45.08252
17;99.45205;45.05885
18;99.72603;45.18736
19;99.81735;45.21104
20;99.72603;45.18736
21;99.81735;45.21104
22;99.90868;45.23471
23;99.45205;45.11634
24;99.63470;45.16369
25;99.45205;45.11634
26;99.63470;45.10620
27;99.36073;45.09267
28;99.26941;45.06899
29;99.72603;45.18736
30;99.72603;45.18736
31;99.45205;45.11634
32;99.45205;45.11634
33;99.72603;45.18736
34;99.36073;45.03517
35;99.90868;45.23471
36;99.26941;45.06899
37;99.54338;45.08252
38;99.63470;45.10620
39;99.36073;45.09267
40;99.36073;45.09267
41;99.63470;45.16369
42;99.63470;45.16369
43;99.45205;45.11634
44;99.45205;45.11634
45;99.54338;45.14002
46;99.36073;45.09267
47;99.36073;45.03517
48;99.36073;45.09267
49;99.63470;45.16369
50;98.90411;44.97430
51;99.36073;45.09267
52;99.63470;45.16369
53;99.72603;45.18736
54;99.26941;45.06899
55;99.54338;45.08252
56;99.72603;45.04870
57;99.45205;45.11634
58;99.17808;45.04532
59;98.90411;44.97430
60;99.45205;45.11634
61;99.81735;45.21104
62;99.81735;45.21104
63;99.54338;45.14002
64;99.72603;45.12987
65;99.72603;45.18736
66;99.54338;45.14002
67;99.81735;45.15354
68;100.00000;45.25839
69;99.63470;45.16369
70;99.26941;45.06899
71;98.99543;44.85931
72;99.36073;45.03517
73;99.17808;45.04532
74;99.17808;44.90666
75;99.81735;45.21104
76;99.26941;45.06899
77;99.81735;45.21104
78;99.45205;45.11634
79;99.36073;45.09267
80;99.36073;45.09267
81;99.54338;45.14002
82;99.72603;45.18736
83;99.36073;45.09267
84;99.63470;45.16369
85;99.90868;45.23471
86;99.72603;45.18736
87;99.81735;45.07238
88;99.54338;45.14002
89;99.81735;45.21104
90;99.17808;44.98782
91;99.08676;44.88298
92;99.72603;45.12987
93;99.63470;45.16369
94;99.72603;45.18736
95;99.17808;45.04532
96;99.54338;45.14002
97;99.72603;45.18736
98;99.81735;45.21104
99;99.08676;45.02165
