algorithm;stop_threshold;run;iteration;current_coverage;current_active_wp;best_coverage;best_active_wp;elapsed_ms
CompactingSolver;1;1;0;99.86331;46.95197;99.86331;46.95197;904
CompactingSolver;1;2;0;99.95899;46.98722;99.95899;46.98722;536
CompactingSolver;1;3;0;99.91799;46.97212;99.91799;46.97212;506
CompactingSolver;1;4;0;99.87698;46.95701;99.87698;46.95701;490
CompactingSolver;1;5;0;99.95899;46.98722;99.95899;46.98722;489
CompactingSolver;2;1;0;99.83598;46.94190;99.83598;46.94190;486
CompactingSolver;2;1;1;99.91799;46.96852;99.91799;46.96852;972
CompactingSolver;2;1;2;99.80864;46.93183;99.91799;46.96852;1454
CompactingSolver;2;2;0;99.95899;46.98722;99.95899;46.98722;488
CompactingSolver;2;2;1;99.95899;46.98722;99.95899;46.98722;974
CompactingSolver;2;2;2;99.94533;46.98219;99.95899;46.98722;1454
CompactingSolver;2;3;0;99.90432;46.96708;99.90432;46.96708;487
CompactingSolver;2;3;1;99.90432;46.96708;99.90432;46.96708;965
CompactingSolver;2;4;0;99.91799;46.97212;99.91799;46.97212;482
CompactingSolver;2;4;1;99.91799;46.97212;99.91799;46.97212;961
CompactingSolver;2;5;0;99.95899;46.98722;99.95899;46.98722;479
CompactingSolver;2;5;1;99.95899;46.98722;99.95899;46.98722;963
CompactingSolver;2;5;2;99.87698;46.92392;99.95899;46.98722;1442
CompactingSolver;3;1;0;99.82231;46.93327;99.82231;46.93327;476
CompactingSolver;3;1;1;99.89065;46.96205;99.89065;46.96205;996
CompactingSolver;3;1;2;99.94533;46.98219;99.94533;46.98219;1506
CompactingSolver;3;1;3;99.91799;46.96852;99.94533;46.98219;2046
CompactingSolver;3;1;4;99.89065;46.96205;99.94533;46.98219;2534
CompactingSolver;3;2;0;99.93166;46.97715;99.93166;46.97715;491
CompactingSolver;3;2;1;99.90432;46.96348;99.93166;46.97715;972
CompactingSolver;3;2;2;99.89065;46.96205;99.93166;46.97715;1482
CompactingSolver;3;3;0;99.91799;46.97212;99.91799;46.97212;492
CompactingSolver;3;3;1;99.89065;46.96205;99.91799;46.97212;977
CompactingSolver;3;3;2;99.93166;46.97715;99.93166;46.97715;1480
CompactingSolver;3;3;3;99.91799;46.97212;99.93166;46.97715;1989
CompactingSolver;3;3;4;99.98633;46.99730;99.98633;46.99730;2488
CompactingSolver;3;3;5;99.97266;46.99226;99.98633;46.99730;3022
CompactingSolver;3;3;6;99.89065;46.96205;99.98633;46.99730;3738
CompactingSolver;3;4;0;99.80864;46.93183;99.80864;46.93183;516
CompactingSolver;3;4;1;99.90432;46.96348;99.90432;46.96348;1020
CompactingSolver;3;4;2;99.97266;46.99226;99.97266;46.99226;1531
CompactingSolver;3;4;3;99.89065;46.96205;99.97266;46.99226;2024
CompactingSolver;3;4;4;99.93166;46.97715;99.97266;46.99226;2550
CompactingSolver;3;5;0;99.95899;46.98722;99.95899;46.98722;491
CompactingSolver;3;5;1;99.89065;46.96205;99.95899;46.98722;982
CompactingSolver;3;5;2;99.93166;46.97715;99.95899;46.98722;1477
CompactingSolver;5;1;0;99.90432;46.96708;99.90432;46.96708;489
CompactingSolver;5;1;1;99.94533;46.98219;99.94533;46.98219;983
CompactingSolver;5;1;2;99.90432;46.96708;99.94533;46.98219;1478
CompactingSolver;5;1;3;99.93166;46.97715;99.94533;46.98219;2040
CompactingSolver;5;1;4;99.84964;46.94694;99.94533;46.98219;2545
CompactingSolver;5;1;5;99.97266;46.99226;99.97266;46.99226;3035
CompactingSolver;5;1;6;99.90432;46.96348;99.97266;46.99226;3521
CompactingSolver;5;1;7;99.97266;46.99226;99.97266;46.99226;4023
CompactingSolver;5;1;8;99.84964;46.94694;99.97266;46.99226;4522
CompactingSolver;5;1;9;99.93166;46.97715;99.97266;46.99226;5014
CompactingSolver;5;2;0;99.94533;46.98219;99.94533;46.98219;520
CompactingSolver;5;2;1;99.87698;46.95701;99.94533;46.98219;1016
CompactingSolver;5;2;2;99.95899;46.98722;99.95899;46.98722;1504
CompactingSolver;5;2;3;99.95899;46.98722;99.95899;46.98722;2015
CompactingSolver;5;2;4;99.90432;46.96708;99.95899;46.98722;2511
CompactingSolver;5;2;5;99.86331;46.95197;99.95899;46.98722;2997
CompactingSolver;5;2;6;99.94533;46.98219;99.95899;46.98722;3483
CompactingSolver;5;2;7;99.90432;46.96708;99.95899;46.98722;3966
CompactingSolver;5;3;0;99.97266;46.99226;99.97266;46.99226;492
CompactingSolver;5;3;1;99.94533;46.98219;99.97266;46.99226;981
CompactingSolver;5;3;2;99.93166;46.97715;99.97266;46.99226;1460
CompactingSolver;5;3;3;99.87698;46.95701;99.97266;46.99226;1941
CompactingSolver;5;3;4;99.91799;46.97212;99.97266;46.99226;2423
CompactingSolver;5;4;0;99.91799;46.97212;99.91799;46.97212;485
CompactingSolver;5;4;1;99.91799;46.97212;99.91799;46.97212;971
CompactingSolver;5;4;2;99.90432;46.96708;99.91799;46.97212;1461
CompactingSolver;5;4;3;99.90432;46.96708;99.91799;46.97212;1951
CompactingSolver;5;4;4;99.93166;46.97356;99.93166;46.97356;2431
CompactingSolver;5;4;5;99.86331;46.95197;99.93166;46.97356;2908
CompactingSolver;5;4;6;99.95899;46.98722;99.95899;46.98722;3393
CompactingSolver;5;4;7;99.87698;46.95701;99.95899;46.98722;3880
CompactingSolver;5;4;8;99.87698;46.95701;99.95899;46.98722;4370
