Instance	Number-of-Services	Real-Services	Fake-Services	Number-of-Employees	Total-Agents	Working-Agents	%Working-Agents	Total-Drivers	Total-Managers	Total-RampManagers	Algorithm	Productivity-UT	Real-Productivity-UT	P.UT-Agent	P.UT-Driver	P.UT-RampManager	P.UT-Manager	Work-Productivity	Real-Work-Productivity	WP-Agent	WP-Driver	WP-RampManager	WP-Manager	Execution-Time(ms)	Covered-Services(%)	Covered-Services	Active-Work-Productivity
realCaseProblemMAD_1000_agents.json	24856	24856	0	1000	1000	1000	100,000	0	0	0	randomSolver	73,675	73,675	64,260	0,000	0,000	0,000	49,531	49,531	49,531	0,000	0,000	0,000	176096,188	87,544	21760	49,531
realCaseProblemMAD_1000_agents.json	24856	24856	0	1000	1000	1000	100,000	0	0	0	referenceSolver	100,000	100,000	6,667	0,000	0,000	0,000	1,491	1,491	1,491	0,000	0,000	0,000	17244,855	2,430	604	1,491
realCaseProblemMAD_1000_agents.json	24856	24856	0	1000	1000	1000	100,000	0	0	0	compactingSolver	94,701	94,701	80,004	0,000	0,000	0,000	56,708	56,708	56,708	0,000	0,000	0,000	149502,711	95,836	23821	56,708
realCaseProblemMAD_1400_agents.json	24856	24856	0	1400	1400	1400	100,000	0	0	0	randomSolver	76,009	76,009	66,167	0,000	0,000	0,000	40,221	40,221	40,221	0,000	0,000	0,000	434503,521	95,715	23791	40,221
realCaseProblemMAD_1400_agents.json	24856	24856	0	1400	1400	1400	100,000	0	0	0	referenceSolver	100,000	100,000	6,667	0,000	0,000	0,000	1,450	1,450	1,450	0,000	0,000	0,000	23668,860	3,416	849	1,450
realCaseProblemMAD_1400_agents.json	24856	24856	0	1400	1400	1220	87,143	0	0	0	compactingSolver	95,239	95,239	62,985	0,000	0,000	0,000	42,246	42,246	42,246	0,000	0,000	0,000	227279,394	100,000	24856	48,479
realCaseProblemMAD.json	24856	24856	0	6889	6889	6885	99,942	0	0	0	randomSolver	94,868	94,868	32,974	0,000	0,000	0,000	8,778	8,778	8,778	0,000	0,000	0,000	1444499,683	100,000	24856	8,784
realCaseProblemMAD.json	24856	24856	0	6889	6889	6889	100,000	0	0	0	referenceSolver	100,000	100,000	6,667	0,000	0,000	0,000	1,422	1,422	1,422	0,000	0,000	0,000	115280,719	17,658	4389	1,422
realCaseProblemMAD.json	24856	24856	0	6889	6889	1235	17,927	0	0	0	compactingSolver	95,275	95,275	13,107	0,000	0,000	0,000	8,778	8,778	8,778	0,000	0,000	0,000	2624215,958	100,000	24856	48,967
realCaseProblemMAD_800_agents.json	24856	24856	0	800	800	800	100,000	0	0	0	randomSolver	75,615	75,615	66,056	0,000	0,000	0,000	55,553	55,553	55,553	0,000	0,000	0,000	146275,312	79,216	19690	55,553
realCaseProblemMAD_800_agents.json	24856	24856	0	800	800	800	100,000	0	0	0	referenceSolver	100,000	100,000	6,667	0,000	0,000	0,000	1,521	1,521	1,521	0,000	0,000	0,000	13460,566	1,975	491	1,521
realCaseProblemMAD_800_agents.json	24856	24856	0	800	800	800	100,000	0	0	0	compactingSolver	93,635	93,635	81,759	0,000	0,000	0,000	62,936	62,936	62,936	0,000	0,000	0,000	226776,269	88,055	21887	62,936
