Instance	Number-of-Services	Real-Services	Fake-Services	Number-of-Employees	Total-Agents	Working-Agents	%Working-Agents	Total-Drivers	Total-Managers	Total-RampManagers	Algorithm	Productivity-UT	Real-Productivity-UT	P.UT-Agent	P.UT-Driver	P.UT-RampManager	P.UT-Manager	Work-Productivity	Real-Work-Productivity	WP-Agent	WP-Driver	WP-RampManager	WP-Manager	Execution-Time(ms)	Covered-Services(%)	Covered-Services	Active-Work-Productivity
TFS-1.0-agents0090-timePerDay06-instance0009.json	2086	1983	103	128	90	90	100,000	27	11	0	randomSolver	82,308	76,525	73,610	80,985	0,000	85,096	49,431	34,462	49,012	46,693	0,000	59,578	778,618	81,064	1691	49,431
TFS-1.0-agents0090-timePerDay06-instance0009.json	2086	1983	103	128	90	90	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	6,166	1,953	2,778	10,979	0,000	22,078	105,670	6,088	127	6,166
TFS-1.0-agents0090-timePerDay06-instance0009.json	2086	1983	103	128	90	90	100,000	27	11	0	compactingSolver	90,693	87,869	80,058	69,729	0,000	86,642	54,813	39,844	56,667	46,693	0,000	59,578	408,911	92,953	1939	56,581
MAD-0.25-agents0270-timePerDay06-instance0006.json	2171	1980	191	362	270	270	100,000	54	19	19	randomSolver	91,589	89,454	61,955	62,612	69,956	67,763	24,417	13,294	17,824	41,580	46,875	46,875	1052,891	100,000	2171	24,417
MAD-0.25-agents0270-timePerDay06-instance0006.json	2171	1980	191	362	270	270	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	10,510	1,813	2,431	32,147	37,171	37,171	297,065	18,240	396	10,510
MAD-0.25-agents0270-timePerDay06-instance0006.json	2171	1980	191	362	270	104	38,519	54	19	19	compactingSolver	91,646	86,518	24,674	58,291	71,053	71,053	24,417	13,294	17,824	41,580	46,875	46,875	1097,942	100,000	2171	46,037
TFS-0.5-agents0110-timePerDay06-instance0001.json	1095	992	103	148	110	110	100,000	27	11	0	randomSolver	87,304	83,217	70,140	84,720	0,000	89,549	31,565	18,619	25,051	46,693	0,000	59,578	288,365	100,000	1095	31,565
TFS-0.5-agents0110-timePerDay06-instance0001.json	1095	992	103	148	110	110	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	5,708	2,065	2,778	10,979	0,000	22,078	41,644	13,425	147	5,708
TFS-0.5-agents0110-timePerDay06-instance0001.json	1095	992	103	148	110	68	61,818	27	11	0	compactingSolver	90,117	85,283	37,436	68,559	0,000	85,838	31,565	18,619	25,051	46,693	0,000	59,578	266,430	100,000	1095	45,800
SPC-0.25-agents0020-timePerDay08-instance0005.json	174	146	28	24	20	20	100,000	2	2	0	randomSolver	87,426	84,985	62,525	71,429	0,000	71,429	23,090	12,674	15,208	62,500	0,000	62,500	11,740	95,402	166	23,090
SPC-0.25-agents0020-timePerDay08-instance0005.json	174	146	28	24	20	20	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	3,819	1,736	2,083	12,500	0,000	12,500	1,633	13,793	24	3,819
SPC-0.25-agents0020-timePerDay08-instance0005.json	174	146	28	24	20	14	70,000	2	2	0	compactingSolver	84,556	80,079	39,468	71,429	0,000	71,429	23,090	12,674	15,208	62,500	0,000	62,500	11,627	95,402	166	30,787
MAD-0.1-agents0210-timePerDay08-instance0000.json	984	793	191	302	210	210	100,000	54	19	19	randomSolver	94,918	92,171	42,198	73,369	78,697	79,950	20,708	5,470	7,867	47,520	53,571	53,571	494,624	100,000	984	20,708
MAD-0.1-agents0210-timePerDay08-instance0000.json	984	793	191	302	210	210	100,000	54	19	19	referenceSolver	100,000	100,000	14,286	38,360	42,105	42,105	11,672	1,449	2,083	31,515	36,466	36,466	52,155	32,724	322	11,672
MAD-0.1-agents0210-timePerDay08-instance0000.json	984	793	191	302	210	42	20,000	54	19	19	compactingSolver	92,386	80,676	13,720	67,429	81,203	81,203	20,708	5,470	7,867	47,520	53,571	53,571	749,285	100,000	984	46,671
MAD-1.0-agents0360-timePerDay08-instance0009.json	8108	7917	191	452	360	360	100,000	54	19	19	randomSolver	72,347	67,172	59,032	64,761	66,667	71,053	39,345	30,437	38,215	41,580	46,875	46,875	7626,508	95,437	7738	39,345
MAD-1.0-agents0360-timePerDay08-instance0009.json	8108	7917	191	452	360	360	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	8,417	1,452	1,823	32,147	37,171	37,171	859,415	5,994	486	8,417
MAD-1.0-agents0360-timePerDay08-instance0009.json	8108	7917	191	452	360	321	89,167	54	19	19	compactingSolver	92,322	90,661	54,019	58,534	71,053	71,053	40,838	31,929	40,089	41,580	46,875	46,875	5834,644	100,000	8108	45,021
SPC-0.1-agents0050-timePerDay04-instance0005.json	87	59	28	54	50	37	74,000	2	2	0	randomSolver	99,176	98,887	16,105	71,429	0,000	71,429	9,182	4,552	4,917	62,500	0,000	62,500	9,723	90,805	79	12,093
SPC-0.1-agents0050-timePerDay04-instance0005.json	87	59	28	54	50	50	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	4,784	3,858	4,167	12,500	0,000	12,500	0,911	62,069	54	4,784
SPC-0.1-agents0050-timePerDay04-instance0005.json	87	59	28	54	50	10	20,000	2	2	0	compactingSolver	96,912	95,651	13,391	71,429	0,000	71,429	9,182	4,552	4,917	62,500	0,000	62,500	16,758	90,805	79	35,417
SPC-0.5-agents0010-timePerDay08-instance0001.json	318	290	28	14	10	10	100,000	2	2	0	randomSolver	74,120	66,394	63,549	71,429	0,000	71,429	48,958	31,101	43,542	62,500	0,000	62,500	9,417	72,013	229	48,958
